戦略: S1 バランス効率型
run  開始      周回時間   ノルマ維持  帯域Y      維持判定 最高層 討伐 金  総クッキー     PT  スキル数  前周比
 17  11h20m30s    35m45s    27m25s    51m38s  OK     86  512 542      1.50e+71  1201048    2   257.08  upgrade_time,golden_analysis
 18  11h56m15s    13m42s    13m42s    51m54s  短い     92  246 119      1.30e+74  1995425    1   870.29  monster_3
 19  12h9m57s    14m59s    14m59s    52m11s  短い     95  281 154      1.37e+77  3362931    2   1053.01  click_4,hunt_analysis
 20  12h24m56s     4m32s     4m32s    52m16s  短い    102   63  12      1.77e+83  9660098    1   1288783.06  auto_4
 21  12h29m28s     4m20s     4m20s    52m21s  短い    109   64  13      1.68e+88  22818686    2   94941.17  upgrade_galaxy,offline_1
 22  12h33m48s     4m44s     4m44s    52m27s  短い    111   70  16      1.36e+91  37700795    2   808.10  golden_4,start_1
 23  12h38m32s     4m53s     4m53s    52m32s  短い    115   75  33      5.36e+93  59028534    2   394.60  monster_4,start_2
 24  12h43m25s      5m5s      5m5s    52m38s  短い    118   85  34      2.57e+96  93793554    4   480.26  upgrade_blackhole,reward_1,reward_synergy,reward_choice_2
 25  12h48m30s     5m22s     5m22s    52m44s  短い    122   97  35      3.58e+99  161406267    1   1390.91  unlock_reward_crackedFang
 26  12h53m52s      6m2s      6m2s    52m51s  短い    127  128  50     6.17e+102  282281906    1   1725.18  unlock_reward_goldenChain
 27  12h59m54s      7m2s      7m2s    52m58s  短い    130  173  70     2.83e+105  447003212    1   458.88  upgrade_universe
 28  13h6m56s     7m15s     7m15s     53m6s  短い    133  178  78     1.45e+109  848118287    1   5112.23  unlock_reward_chainPrep
 29  13h14m11s     7m29s     7m29s    53m15s  短い    138  204  92     5.00e+112  1562418964    1   3450.49  unlock_reward_huntFocus
 30  13h21m40s     7m52s     7m52s    53m23s  短い    141  200  84     6.01e+115  2659465085    1   1202.15  upgrade_godfinger
 31  13h29m32s     7m42s     7m42s    53m31s  短い    144  191  78     9.87e+117  3899262263    1   164.38  unlock_reward_goldenTarget
 32  13h37m14s     7m55s     7m55s    53m40s  短い    148  202  76     2.33e+120  5873378919    1   235.55  upgrade_singularity
 33  13h45m9s     8m11s     8m11s    53m49s  短い    150  206  88     2.81e+123  10001183619    1   1208.31  unlock_reward_goldenFirstHit
 34  13h53m20s     8m26s     8m26s    53m58s  短い    155  204  94     4.10e+126  17273424911    1   1460.03  unlock_reward_beastScent
 35  14h1m46s     8m33s     8m33s     54m7s  短い    158  216  81     4.77e+128  24675106209    1   116.16  reward_2
 36  14h10m19s     8m57s     8m57s    54m16s  短い    162  237  85     3.19e+131  40196807492    1   669.53  upgrade_quantum
 37  14h19m16s     9m34s     9m34s    54m27s  短い    164  250 112     8.56e+133  61140698055    1   268.24  unlock_reward_biteRecovery
 38  14h28m50s    10m31s    10m31s    54m38s  短い    168  290 110     3.26e+136  95481257713    1   381.21  unlock_reward_beastHeatFerment
 39  14h39m21s     11m9s     11m9s    54m49s  短い    171  310  64     1.74e+139  152902552246    1   532.87  unlock_reward_huntingCore
 40  14h50m30s    10m39s    10m39s     55m0s  短い    174  301  82     7.08e+141  239952004956    1   406.88  upgrade_antimatter
 41   15h1m9s    10m48s    10m48s    55m11s  短い    178  298  80     3.24e+144  379877093105    1   457.35  unlock_reward_brandHunt
 42  15h11m57s     11m3s     11m3s    55m23s  短い    181  308 100     1.14e+147  589592532562    1   351.12  unlock_reward_crushedMill
 43  15h23m0s     12m2s     12m2s    55m35s  短い    183  340  68     6.08e+149  944509004179    1   535.45  unlock_reward_deepPursuit
 44  15h35m2s    12m15s    12m15s    55m47s  短い    187  352 113     9.92e+151  1384023259104    1   163.12  unlock_reward_goldenBeastMutation
 45  15h47m17s    12m45s    12m45s     56m0s  短い    191  376 136     4.21e+154  2178905596898    1   424.55  master_final
 46   16h0m2s  83h59m58s    29m31s   1h44m0s  -     221 1011 150934     4.98e+183  330125146885559    0   1.181778015949722e+29 (途中)  
合計: 4.98e+183 / 100倍達成 44/45 / PT2-100倍 45/45 / ペース 15/76
