⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=6.092 (n=10)
  OK 装備lift:accA_t2_v1           min比=44.940 (n=1, S9)
  NG 装備lift:accA_t2_v3           min比=1.396 (n=6, S8)
  NG 装備lift:accA_t2_v6           min比=0.987 (n=4, S7)
  OK 装備lift:accA_t2_v7           min比=380344852981.460 (n=1, S6)
  OK 装備lift:accA_t2_v9           min比=44147952457071.820 (n=1, S6)
  OK 装備lift:accB_t2_v2           min比=21.191 (n=4, S8)
  NG 装備lift:accB_t2_v3           min比=1.396 (n=5, S6)
  NG 装備lift:accB_t2_v6           min比=1.006 (n=6, S9)
  OK 装備lift:weapon_t3_v1         min比=4.410 (n=7, S8)
  OK 装備lift:weapon_t3_v6         min比=5.924 (n=2, S9)
  NG 装備lift:shield_t3_v1         min比=1.379 (n=9, S9)
  OK 装備lift:shield_t3_v3         min比=380344852981.460 (n=2, S6)
  NG 装備lift:armorTop_t3_v1       min比=1.379 (n=9, S9)
  OK 装備lift:armorTop_t3_v3       min比=380344852981.460 (n=2, S6)
  NG 装備lift:armorBottom_t3_v1    min比=0.987 (n=8, S9)
  OK 装備lift:armorBottom_t3_v3    min比=380344852981.460 (n=2, S6)
  OK 装備lift:hands_t3_v1          min比=7.484 (n=4, S9)
  OK 装備lift:hands_t3_v3          min比=119492816055265200.000 (n=2, S5)
  OK 装備lift:hands_t3_v5          min比=38389057571959.414 (n=1, S1)
  OK 装備lift:hands_t3_v6          min比=190641564493312.531 (n=3, S6)
  NG 装備lift:hat_t3_v1            min比=0.987 (n=9, S9)
  OK 装備lift:hat_t3_v7            min比=1.0964475994311021e+21 (n=1, S2)
  OK 装備lift:shoes_t3_v3          min比=3.086 (n=6, S9)
  OK 装備lift:shoes_t3_v4          min比=6641795.293 (n=5, S8)
  OK 装備lift:shoes_t3_v6          min比=380344852981.460 (n=1, S6)
  OK 装備lift:accA_t3_v1           min比=19.157 (n=1, S9)
  OK 装備lift:accA_t3_v3           min比=6641795.293 (n=4, S8)
  NG 装備lift:accA_t3_v6           min比=1.000 (n=5, S7)
  OK 装備lift:accA_t3_v9           min比=418.945 (n=1, S6)
  OK 装備lift:accB_t3_v2           min比=316386293.847 (n=1, S8)
  OK 装備lift:accB_t3_v3           min比=71182269471925141504.000 (n=2, S6)
  NG 装備lift:accB_t3_v6           min比=1.000 (n=6, S9)
  NG 装備lift:weapon_t4_v1         min比=1.379 (n=7, S8)
  OK 装備lift:weapon_t4_v6         min比=8.528 (n=2, S9)
  NG 装備lift:shield_t4_v1         min比=0.987 (n=9, S9)
  OK 装備lift:shield_t4_v3         min比=418.945 (n=2, S6)
  NG 装備lift:armorTop_t4_v1       min比=0.987 (n=9, S9)
  OK 装備lift:armorTop_t4_v3       min比=418.945 (n=2, S6)
  NG 装備lift:armorBottom_t4_v1    min比=1.000 (n=7, S9)
  OK 装備lift:armorBottom_t4_v3    min比=418.945 (n=3, S6)
  OK 装備lift:hands_t4_v1          min比=5.924 (n=4, S9)
  OK 装備lift:hands_t4_v3          min比=892796656224.398 (n=2, S5)
  OK 装備lift:hands_t4_v5          min比=4.868 (n=1, S1)
  OK 装備lift:hands_t4_v6          min比=380344852981.460 (n=3, S6)
  NG 装備lift:hat_t4_v1            min比=1.000 (n=8, S9)
  OK 装備lift:hat_t4_v3            min比=430296992109180.625 (n=1, S6)
  OK 装備lift:hat_t4_v7            min比=14344204836004.152 (n=1, S2)
  NG 装備lift:shoes_t4_v3          min比=0.994 (n=5, S9)
  OK 装備lift:shoes_t4_v4          min比=190641564493312.531 (n=3, S8)
  OK 装備lift:shoes_t4_v6          min比=418.945 (n=1, S6)
  OK 装備lift:accA_t4_v1           min比=8.528 (n=1, S9)
  OK 装備lift:accA_t4_v3           min比=26271130941440188.000 (n=2, S8)
  OK 装備lift:accA_t4_v6           min比=3.086 (n=6, S7)
  OK 装備lift:accA_t4_v9           min比=198933154496701.844 (n=1, S6)
  OK 装備lift:accB_t4_v2           min比=26271130941440188.000 (n=1, S8)
  OK 装備lift:accB_t4_v3           min比=380344852981.460 (n=2, S6)
  OK 装備lift:accB_t4_v6           min比=3.086 (n=6, S9)
  NG 装備lift:weapon_t5_v1         min比=0.987 (n=7, S8)
  NG 装備lift:weapon_t5_v6         min比=0.994 (n=2, S9)
  NG 装備lift:shield_t5_v1         min比=1.000 (n=8, S9)
  OK 装備lift:shield_t5_v3         min比=198933154496701.844 (n=1, S6)
  NG 装備lift:armorTop_t5_v1       min比=1.000 (n=8, S9)
  OK 装備lift:armorTop_t5_v3       min比=198933154496701.844 (n=1, S6)
  OK 装備lift:armorBottom_t5_v1    min比=8.528 (n=6, S9)
  OK 装備lift:armorBottom_t5_v3    min比=198933154496701.844 (n=1, S6)
  OK 装備lift:hands_t5_v1          min比=8.528 (n=4, S9)
  OK 装備lift:hands_t5_v3          min比=39.153 (n=1, S5)
  OK 装備lift:hands_t5_v6          min比=418.945 (n=2, S6)
  OK 装備lift:hat_t5_v1            min比=8.528 (n=6, S9)
  OK 装備lift:hat_t5_v3            min比=1715173979301375.750 (n=1, S6)
  NG 装備lift:shoes_t5_v3          min比=1.270 (n=5, S9)
  OK 装備lift:shoes_t5_v4          min比=6003434144252779520.000 (n=2, S8)
  OK 装備lift:shoes_t5_v6          min比=198933154496701.844 (n=1, S6)
  OK 装備lift:accA_t5_v1           min比=12.099 (n=1, S9)
  OK 装備lift:accA_t5_v3           min比=6003434144252779520.000 (n=2, S8)
  NG 装備lift:accA_t5_v6           min比=1.000 (n=5, S7)
  OK 装備lift:accA_t5_v9           min比=367865826693232197632.000 (n=1, S6)
  OK 装備lift:accB_t5_v2           min比=6003434144252779520.000 (n=2, S8)
  OK 装備lift:accB_t5_v3           min比=418.945 (n=2, S6)
  NG 装備lift:accB_t5_v6           min比=0.994 (n=5, S9)
  NG 装備lift:weapon_t6_v1         min比=1.000 (n=6, S8)
  OK 装備lift:weapon_t6_v6         min比=12.099 (n=3, S9)
  OK 装備lift:shield_t6_v1         min比=8.528 (n=7, S9)
  OK 装備lift:shield_t6_v3         min比=1715173979301375.750 (n=1, S6)
  OK 装備lift:armorTop_t6_v1       min比=8.528 (n=7, S9)
  OK 装備lift:armorTop_t6_v3       min比=1715173979301375.750 (n=1, S6)
  OK 装備lift:armorBottom_t6_v1    min比=4.868 (n=6, S9)
  OK 装備lift:armorBottom_t6_v3    min比=1715173979301375.750 (n=1, S6)
  OK 装備lift:hands_t6_v1          min比=12.099 (n=3, S9)
  OK 装備lift:hands_t6_v3          min比=2616396944.130 (n=2, S6)
  OK 装備lift:hands_t6_v6          min比=198933154496701.844 (n=1, S6)
  OK 装備lift:hat_t6_v1            min比=4.868 (n=5, S9)
  OK 装備lift:hat_t6_v3            min比=367865826693232197632.000 (n=1, S6)
  NG 装備lift:shoes_t6_v3          min比=1.000 (n=6, S9)
  OK 装備lift:shoes_t6_v4          min比=598076509.507 (n=1, S8)
  OK 装備lift:shoes_t6_v6          min比=1715173979301375.750 (n=1, S6)
  OK 装備lift:shoes_t6_v9          min比=367865826693232197632.000 (n=1, S6)
  OK 装備lift:accA_t6_v1           min比=7.291 (n=1, S9)
  OK 装備lift:accA_t6_v3           min比=598076509.507 (n=2, S8)
  OK 装備lift:accA_t6_v6           min比=4.868 (n=3, S5)
  OK 装備lift:accA_t6_v9           min比=1235.497 (n=2, S9)
  OK 装備lift:accB_t6_v2           min比=598076509.507 (n=1, S8)
  OK 装備lift:accB_t6_v3           min比=198933154496701.844 (n=1, S6)
  OK 装備lift:accB_t6_v5           min比=7.113910078938128e+22 (n=1, S6)
  OK 装備lift:accB_t6_v6           min比=4.868 (n=4, S9)
新装備(a) 合計 104/147(装備された装備のみ判定対象)
新装備(b) カバレッジ: 147/486 装備済み 未装備: weapon_t1_v2,weapon_t1_v3,weapon_t1_v4,weapon_t1_v5,weapon_t1_v6,weapon_t1_v7,weapon_t1_v8,weapon_t1_v9,shield_t1_v2,shield_t1_v3,shield_t1_v4,shield_t1_v5,shield_t1_v6,shield_t1_v7,shield_t1_v8,shield_t1_v9,armorTop_t1_v2,armorTop_t1_v3,armorTop_t1_v4,armorTop_t1_v5,armorTop_t1_v6,armorTop_t1_v7,armorTop_t1_v8,armorTop_t1_v9,armorBottom_t1_v4,armorBottom_t1_v5,armorBottom_t1_v6,armorBottom_t1_v7,armorBottom_t1_v8,armorBottom_t1_v9,hands_t1_v4,hands_t1_v5,hands_t1_v7,hands_t1_v8,hands_t1_v9,hat_t1_v2,hat_t1_v4,hat_t1_v6,hat_t1_v7,hat_t1_v8,hat_t1_v9,shoes_t1_v1,shoes_t1_v2,shoes_t1_v5,shoes_t1_v6,shoes_t1_v7,shoes_t1_v8,accA_t1_v2,accA_t1_v5,accA_t1_v7,accA_t1_v8,accB_t1_v1,accB_t1_v5,accB_t1_v7,accB_t1_v8,accB_t1_v9,weapon_t2_v2,weapon_t2_v3,weapon_t2_v4,weapon_t2_v5,weapon_t2_v7,weapon_t2_v8,weapon_t2_v9,shield_t2_v2,shield_t2_v3,shield_t2_v4,shield_t2_v5,shield_t2_v6,shield_t2_v7,shield_t2_v8,shield_t2_v9,armorTop_t2_v2,armorTop_t2_v3,armorTop_t2_v4,armorTop_t2_v5,armorTop_t2_v6,armorTop_t2_v7,armorTop_t2_v8,armorTop_t2_v9,armorBottom_t2_v4,armorBottom_t2_v5,armorBottom_t2_v6,armorBottom_t2_v7,armorBottom_t2_v8,armorBottom_t2_v9,hands_t2_v4,hands_t2_v7,hands_t2_v8,hands_t2_v9,hat_t2_v2,hat_t2_v3,hat_t2_v4,hat_t2_v5,hat_t2_v6,hat_t2_v7,hat_t2_v8,hat_t2_v9,shoes_t2_v1,shoes_t2_v2,shoes_t2_v5,shoes_t2_v7,shoes_t2_v8,accA_t2_v2,accA_t2_v4,accA_t2_v5,accA_t2_v8,accB_t2_v1,accB_t2_v4,accB_t2_v5,accB_t2_v7,accB_t2_v8,accB_t2_v9,weapon_t3_v2,weapon_t3_v3,weapon_t3_v4,weapon_t3_v5,weapon_t3_v7,weapon_t3_v8,weapon_t3_v9,shield_t3_v2,shield_t3_v4,shield_t3_v5,shield_t3_v6,shield_t3_v7,shield_t3_v8,shield_t3_v9,armorTop_t3_v2,armorTop_t3_v4,armorTop_t3_v5,armorTop_t3_v6,armorTop_t3_v7,armorTop_t3_v8,armorTop_t3_v9,armorBottom_t3_v2,armorBottom_t3_v4,armorBottom_t3_v5,armorBottom_t3_v6,armorBottom_t3_v7,armorBottom_t3_v8,armorBottom_t3_v9,hands_t3_v2,hands_t3_v4,hands_t3_v7,hands_t3_v8,hands_t3_v9,hat_t3_v2,hat_t3_v3,hat_t3_v4,hat_t3_v5,hat_t3_v6,hat_t3_v8,hat_t3_v9,shoes_t3_v1,shoes_t3_v2,shoes_t3_v5,shoes_t3_v7,shoes_t3_v8,shoes_t3_v9,accA_t3_v2,accA_t3_v4,accA_t3_v5,accA_t3_v7,accA_t3_v8,accB_t3_v1,accB_t3_v4,accB_t3_v5,accB_t3_v7,accB_t3_v8,accB_t3_v9,weapon_t4_v2,weapon_t4_v3,weapon_t4_v4,weapon_t4_v5,weapon_t4_v7,weapon_t4_v8,weapon_t4_v9,shield_t4_v2,shield_t4_v4,shield_t4_v5,shield_t4_v6,shield_t4_v7,shield_t4_v8,shield_t4_v9,armorTop_t4_v2,armorTop_t4_v4,armorTop_t4_v5,armorTop_t4_v6,armorTop_t4_v7,armorTop_t4_v8,armorTop_t4_v9,armorBottom_t4_v2,armorBottom_t4_v4,armorBottom_t4_v5,armorBottom_t4_v6,armorBottom_t4_v7,armorBottom_t4_v8,armorBottom_t4_v9,hands_t4_v2,hands_t4_v4,hands_t4_v7,hands_t4_v8,hands_t4_v9,hat_t4_v2,hat_t4_v4,hat_t4_v5,hat_t4_v6,hat_t4_v8,hat_t4_v9,shoes_t4_v1,shoes_t4_v2,shoes_t4_v5,shoes_t4_v7,shoes_t4_v8,shoes_t4_v9,accA_t4_v2,accA_t4_v4,accA_t4_v5,accA_t4_v7,accA_t4_v8,accB_t4_v1,accB_t4_v4,accB_t4_v5,accB_t4_v7,accB_t4_v8,accB_t4_v9,weapon_t5_v2,weapon_t5_v3,weapon_t5_v4,weapon_t5_v5,weapon_t5_v7,weapon_t5_v8,weapon_t5_v9,shield_t5_v2,shield_t5_v4,shield_t5_v5,shield_t5_v6,shield_t5_v7,shield_t5_v8,shield_t5_v9,armorTop_t5_v2,armorTop_t5_v4,armorTop_t5_v5,armorTop_t5_v6,armorTop_t5_v7,armorTop_t5_v8,armorTop_t5_v9,armorBottom_t5_v2,armorBottom_t5_v4,armorBottom_t5_v5,armorBottom_t5_v6,armorBottom_t5_v7,armorBottom_t5_v8,armorBottom_t5_v9,hands_t5_v2,hands_t5_v4,hands_t5_v5,hands_t5_v7,hands_t5_v8,hands_t5_v9,hat_t5_v2,hat_t5_v4,hat_t5_v5,hat_t5_v6,hat_t5_v7,hat_t5_v8,hat_t5_v9,shoes_t5_v1,shoes_t5_v2,shoes_t5_v5,shoes_t5_v7,shoes_t5_v8,shoes_t5_v9,accA_t5_v2,accA_t5_v4,accA_t5_v5,accA_t5_v7,accA_t5_v8,accB_t5_v1,accB_t5_v4,accB_t5_v5,accB_t5_v7,accB_t5_v8,accB_t5_v9,weapon_t6_v2,weapon_t6_v3,weapon_t6_v4,weapon_t6_v5,weapon_t6_v7,weapon_t6_v8,weapon_t6_v9,shield_t6_v2,shield_t6_v4,shield_t6_v5,shield_t6_v6,shield_t6_v7,shield_t6_v8,shield_t6_v9,armorTop_t6_v2,armorTop_t6_v4,armorTop_t6_v5,armorTop_t6_v6,armorTop_t6_v7,armorTop_t6_v8,armorTop_t6_v9,armorBottom_t6_v2,armorBottom_t6_v4,armorBottom_t6_v5,armorBottom_t6_v6,armorBottom_t6_v7,armorBottom_t6_v8,armorBottom_t6_v9,hands_t6_v2,hands_t6_v4,hands_t6_v5,hands_t6_v7,hands_t6_v8,hands_t6_v9,hat_t6_v2,hat_t6_v4,hat_t6_v5,hat_t6_v6,hat_t6_v7,hat_t6_v8,hat_t6_v9,shoes_t6_v1,shoes_t6_v2,shoes_t6_v5,shoes_t6_v7,shoes_t6_v8,accA_t6_v2,accA_t6_v4,accA_t6_v5,accA_t6_v7,accA_t6_v8,accB_t6_v1,accB_t6_v4,accB_t6_v7,accB_t6_v8,accB_t6_v9
新装備(c) 毎周回全カテゴリ作成: 96/143周回
