run 0 dur=60.0m stage=4 kills=12 golden=86 huntInv=4 goldInv=8 res2=[] inc(設34/金8/討5/タ52) skills+1=core
run 1 dur=68.1m stage=4 kills=33 golden=237 huntInv=14 goldInv=27 res2=[] inc(設35/金28/討6/タ31) skills+1=click_1
run 2 dur=46.4m stage=15 kills=85 golden=339 huntInv=65 goldInv=88 res2=[] inc(設24/金37/討10/タ29) skills+1=golden_1
run 3 dur=60.0m stage=12 kills=65 golden=745 huntInv=37 goldInv=60 res2=[] inc(設18/金55/討7/タ20) skills+1=monster_1
run 4 dur=51.7m stage=20 kills=129 golden=883 huntInv=104 goldInv=140 res2=[] inc(設13/金57/討10/タ20) skills+1=auto_1
run 5 dur=41.9m stage=24 kills=117 golden=691 huntInv=81 goldInv=146 res2=[] inc(設16/金58/討10/タ17) skills+1=economy_1
run 6 dur=47.7m stage=19 kills=89 golden=785 huntInv=52 goldInv=77 res2=[] inc(設19/金57/討10/タ14) skills+1=click_2
run 7 dur=43.9m stage=25 kills=111 golden=753 huntInv=83 goldInv=143 res2=[spiceBlend] inc(設20/金56/討10/タ14) skills+1=golden_2
run 8 dur=45.9m stage=24 kills=99 golden=761 huntInv=70 goldInv=91 res2=[fingerTechnique,spiceBlend] inc(設21/金55/討10/タ14) skills+1=monster_2
run 9 dur=47.6m stage=26 kills=109 golden=867 huntInv=73 goldInv=122 res2=[fingerTechnique,spiceBlend] inc(設19/金58/討10/タ13) skills+1=economy_2
run10 dur=44.2m stage=30 kills=119 golden=675 huntInv=91 goldInv=132 res2=[fingerTechnique,spiceBlend] inc(設23/金54/討10/タ13) skills+1=auto_2
run21 dur=12.7m stage=87 kills=192 golden=171 huntInv=107 goldInv=166 res2=[fingerTechnique,grandmaCrowd,ovenBatch,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設26/金10/討43/タ21) skills+2=click_4+offline_1
run22 dur=12.3m stage=84 kills=138 golden=199 huntInv=71 goldInv=122 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設42/金12/討29/タ17) skills+1=upgrade_galaxy
run23 dur=13.5m stage=83 kills=128 golden=225 huntInv=67 goldInv=104 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設39/金9/討37/タ16) skills+1=mastery_high
run24 dur=14.6m stage=89 kills=163 golden=259 huntInv=94 goldInv=135 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設44/金11/討30/タ14) skills+1=golden_4
run25 dur=14.8m stage=98 kills=210 golden=327 huntInv=121 goldInv=192 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設43/金14/討30/タ13) skills+3=monster_4+start_1+start_2
run26 dur=16.2m stage=100 kills=219 golden=370 huntInv=113 goldInv=216 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設37/金14/討39/タ11) skills+4=upgrade_blackhole+reward_1+reward_synergy+reward_choice_2
run27 dur=15.4m stage=113 kills=259 golden=375 huntInv=0 goldInv=454 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設35/金26/討28/タ11) skills+1=unlock_reward_crackedFang
run28 dur=13.0m stage=123 kills=251 golden=289 huntInv=0 goldInv=440 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設33/金23/討32/タ13) skills+1=unlock_reward_goldenChain
run29 dur=14.6m stage=103 kills=179 golden=332 huntInv=0 goldInv=272 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast] inc(設41/金21/討26/タ12) skills+1=upgrade_universe
run30 dur=14.4m stage=114 kills=224 golden=329 huntInv=0 goldInv=348 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,galaxyAssembly] inc(設39/金22/討27/タ12) skills+1=unlock_reward_chainPrep
run31 dur=17.0m stage=105 kills=211 golden=409 huntInv=0 goldInv=369 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,galaxyAssembly] inc(設41/金26/討22/タ11) skills+1=unlock_reward_huntFocus
run32 dur=14.7m stage=133 kills=288 golden=332 huntInv=0 goldInv=376 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,galaxyAssembly] inc(設37/金18/討33/タ12) skills+1=upgrade_godfinger
run33 dur=11.3m stage=150 kills=275 golden=241 huntInv=0 goldInv=346 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,galaxyAssembly] inc(設16/金5/討33/タ45) skills+1=upgrade_singularity
run34 dur=10.7m stage=130 kills=197 golden=228 huntInv=0 goldInv=252 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,galaxyAssembly] inc(設16/金5/討34/タ44) skills+1=unlock_reward_goldenTarget
run35 dur=11.3m stage=123 kills=182 golden=251 huntInv=0 goldInv=211 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly] inc(設18/金5/討30/タ47) skills+1=unlock_reward_goldenFirstHit
run36 dur=10.6m stage=137 kills=199 golden=209 huntInv=0 goldInv=179 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly] inc(設17/金3/討35/タ46) skills+1=unlock_reward_beastScent
run37 dur=12.0m stage=122 kills=180 golden=273 huntInv=0 goldInv=173 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設21/金4/討23/タ52) skills+1=reward_2
run38 dur=12.0m stage=136 kills=220 golden=273 huntInv=0 goldInv=205 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設18/金3/討33/タ46) skills+1=upgrade_quantum
run39 dur=12.3m stage=136 kills=219 golden=283 huntInv=0 goldInv=204 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設20/金4/討25/タ51) skills+1=unlock_reward_biteRecovery
run40 dur=12.7m stage=138 kills=225 golden=289 huntInv=0 goldInv=192 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設19/金3/討32/タ47) skills+1=unlock_reward_beastHeatFerment
run41 dur=11.7m stage=160 kills=240 golden=268 huntInv=0 goldInv=177 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設17/金2/討35/タ45) skills+1=upgrade_antimatter
run42 dur=11.8m stage=147 kills=208 golden=267 huntInv=0 goldInv=156 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設20/金3/討25/タ52) skills+1=unlock_reward_huntingCore
run43 dur=13.4m stage=141 kills=214 golden=342 huntInv=0 goldInv=169 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression] inc(設20/金3/討28/タ49) skills+1=unlock_reward_brandHunt
run44 dur=13.4m stage=156 kills=255 golden=356 huntInv=0 goldInv=187 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression,quantumProofing,antimatterRecipe] inc(設20/金3/討26/タ50) skills+2=unlock_reward_crushedMill+unlock_reward_deepPursuit
run45 dur=12.2m stage=166 kills=260 golden=318 huntInv=19 goldInv=158 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression,quantumProofing,antimatterRecipe] inc(設17/金2/討36/タ45) skills+1=unlock_reward_goldenBeastMutation
run46 dur=12.5m stage=153 kills=226 golden=317 huntInv=13 goldInv=139 res2=[fingerTechnique,grandmaCrowd,ovenBatch,factoryNetwork,spiceBlend,portalNetwork,bankClickDividend,moonGlobalYeast,portalGlobalFold,galaxyAssembly,blackHoleCompression,quantumProofing,antimatterRecipe] inc(設19/金2/討30/タ48) skills+1=master_final
