⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=500304607.997 (n=10)
  OK 装備lift:hat_t2_v1            中央値比=6.272650170412674e+21 (n=2, S12)
  OK 装備lift:hat_t2_v3            中央値比=3.02802816164641e+23 (n=2, S6)
  OK 装備lift:hat_t2_v6            中央値比=2818.817 (n=2, S13)
  OK 装備lift:hat_t2_v9            中央値比=1042813526906.015 (n=2, S11)
  OK 装備lift:shoes_t2_v1          中央値比=1.5405329892326457e+21 (n=2, S11)
  OK 装備lift:shoes_t2_v6          中央値比=31875.543 (n=2, S12)
  OK 装備lift:shoes_t2_v9          中央値比=3641.960 (n=2, S10)
  OK 装備lift:accA_t2_v1           中央値比=94.025 (n=2, S10)
  OK 装備lift:accA_t2_v4           中央値比=3.089 (n=2, S13)
  OK 装備lift:accA_t2_v6           中央値比=1.2545300340825347e+22 (n=1, S3)
  OK 装備lift:accA_t2_v7           中央値比=2.114 (n=1, S7)
  OK 装備lift:accB_t2_v1           中央値比=13225109423399444480.000 (n=1, S9)
  OK 装備lift:accB_t2_v6           中央値比=3.612548814631002e+22 (n=1, S5)
  OK 装備lift:accB_t2_v8           中央値比=518681.049 (n=1, S11)
  OK 装備lift:weapon_t3_v1         中央値比=2.735 (n=4, S12)
  OK 装備lift:weapon_t3_v4         中央値比=94.025 (n=2, S10)
  OK 装備lift:weapon_t3_v6         中央値比=29598456246997052.000 (n=1, S12)
  OK 装備lift:shield_t3_v1         中央値比=1042813530271.243 (n=2, S6)
  OK 装備lift:shield_t3_v4         中央値比=136943037010985.484 (n=5, S13)
  OK 装備lift:armorTop_t3_v1       中央値比=1306509.626 (n=3, S6)
  OK 装備lift:armorTop_t3_v4       中央値比=183270387385170165760.000 (n=8, S13)
  OK 装備lift:armorBottom_t3_v1    中央値比=240845858440594.688 (n=2, S13)
  OK 装備lift:armorBottom_t3_v4    中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:armorBottom_t3_v6    中央値比=3.417142515152181e+21 (n=8, S13)
  OK 装備lift:hands_t3_v1          中央値比=3.3461899706797367e+22 (n=2, S12)
  OK 装備lift:hat_t3_v1            中央値比=44.315 (n=1, S11)
  OK 装備lift:hat_t3_v3            中央値比=2.3946199406778024e+26 (n=1, S6)
  OK 装備lift:shoes_t3_v4          中央値比=157048299449625149440.000 (n=1, S2)
  OK 装備lift:shoes_t3_v6          中央値比=2.3946199406778024e+26 (n=1, S6)
  OK 装備lift:accA_t3_v1           中央値比=8.799235931798636e+52 (n=1, S9)
  OK 装備lift:accA_t3_v4           中央値比=6740.426 (n=3, S13)
  OK 装備lift:accA_t3_v6           中央値比=6.2477734078381505e+22 (n=3, S8)
  OK 装備lift:accB_t3_v4           中央値比=2.3946199406778024e+26 (n=1, S6)
  OK 装備lift:accB_t3_v6           中央値比=1724311963474006.750 (n=2, S13)
  OK 装備lift:accB_t3_v9           中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:weapon_t4_v1         中央値比=6.279262725124373e+21 (n=4, S9)
  OK 装備lift:weapon_t4_v4         中央値比=8.799235931798636e+52 (n=1, S9)
  OK 装備lift:shield_t4_v1         中央値比=3.124099122828651e+22 (n=2, S6)
  OK 装備lift:shield_t4_v4         中央値比=227777737794413.688 (n=6, S13)
  OK 装備lift:shield_t4_v9         中央値比=154.880 (n=1, S13)
  OK 装備lift:armorTop_t4_v1       中央値比=1664179774749169.750 (n=5, S13)
  OK 装備lift:armorTop_t4_v4       中央値比=52849727594505.320 (n=7, S13)
  OK 装備lift:armorBottom_t4_v1    中央値比=221744174.930 (n=1, S12)
  OK 装備lift:armorBottom_t4_v6    中央値比=4.530270607395584e+47 (n=2, S11)
  OK 装備lift:hands_t4_v1          中央値比=1676320389.572 (n=1, S11)
  OK 装備lift:hands_t4_v4          中央値比=1.6198074147636933e+35 (n=1, S5)
  OK 装備lift:hands_t4_v6          中央値比=6.05605632329282e+23 (n=7, S13)
  OK 装備lift:hat_t4_v1            中央値比=23710042338177.457 (n=1, S1)
  OK 装備lift:hat_t4_v6            中央値比=1.245292154239803e+31 (n=9, S13)
  OK 装備lift:shoes_t4_v4          中央値比=5.863128057867516e+28 (n=1, S2)
  OK 装備lift:shoes_t4_v6          中央値比=183270387385170165760.000 (n=6, S13)
  OK 装備lift:shoes_t4_v9          中央値比=3.590373982394097e+23 (n=1, S11)
  OK 装備lift:accA_t4_v4           中央値比=1.5405477884607691e+21 (n=2, S12)
  OK 装備lift:accA_t4_v6           中央値比=1.0934595624265922e+25 (n=2, S13)
  OK 装備lift:accA_t4_v9           中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:accB_t4_v4           中央値比=366511176314093305856.000 (n=3, S13)
  OK 装備lift:accB_t4_v6           中央値比=9.558457213087352e+32 (n=2, S12)
  OK 装備lift:weapon_t5_v1         中央値比=2124361470095746560.000 (n=8, S13)
  OK 装備lift:weapon_t5_v4         中央値比=1.4937026687756935e+21 (n=4, S12)
  OK 装備lift:weapon_t5_v6         中央値比=185505031671340.688 (n=1, S1)
  OK 装備lift:shield_t5_v1         中央値比=1.0934595624265922e+25 (n=2, S13)
  OK 装備lift:shield_t5_v4         中央値比=8.099037073818659e+34 (n=6, S13)
  OK 装備lift:armorTop_t5_v1       中央値比=4.312856194973532e+27 (n=5, S12)
  OK 装備lift:armorTop_t5_v4       中央値比=8.099037073818466e+34 (n=6, S13)
  OK 装備lift:armorBottom_t5_v6    中央値比=9.5556860438582e+36 (n=1, S1)
  OK 装備lift:armorBottom_t5_v7    中央値比=2.6652904161922934e+42 (n=2, S7)
  OK 装備lift:hands_t5_v1          中央値比=185505031671340.688 (n=1, S1)
  OK 装備lift:hands_t5_v4          中央値比=9.5556860438582e+36 (n=1, S1)
  OK 装備lift:hands_t5_v6          中央値比=2.474259217532927e+39 (n=5, S10)
  OK 装備lift:hat_t5_v4            中央値比=9.5556860438582e+36 (n=1, S1)
  OK 装備lift:hat_t5_v6            中央値比=1.9743952398164073e+25 (n=8, S13)
  OK 装備lift:hat_t5_v9            中央値比=185505031671340.688 (n=1, S1)
  OK 装備lift:shoes_t5_v4          中央値比=5.330580832384587e+42 (n=1, S7)
  OK 装備lift:shoes_t5_v9          中央値比=194866868793619415040.000 (n=1, S11)
  OK 装備lift:accA_t5_v4           中央値比=3.948790479624965e+25 (n=7, S13)
  OK 装備lift:accA_t5_v6           中央値比=184189932018.766 (n=1, S12)
  OK 装備lift:accA_t5_v7           中央値比=518681.049 (n=1, S11)
  OK 装備lift:accB_t5_v4           中央値比=9.931150878594052e+41 (n=4, S13)
  OK 装備lift:accB_t5_v9           中央値比=4.530270607396394e+47 (n=2, S11)
  OK 装備lift:weapon_t6_v1         中央値比=2.167362693109376e+27 (n=6, S13)
  OK 装備lift:weapon_t6_v4         中央値比=2.985244221909907e+21 (n=3, S12)
  OK 装備lift:shield_t6_v1         中央値比=184189932018.766 (n=1, S12)
  OK 装備lift:shield_t6_v4         中央値比=1.4926221110640588e+21 (n=2, S12)
  OK 装備lift:armorTop_t6_v1       中央値比=8833061.109 (n=3, S11)
  OK 装備lift:armorTop_t6_v4       中央値比=4.777843021929102e+36 (n=4, S12)
  OK 装備lift:armorBottom_t6_v6    中央値比=1.163766129037406e+44 (n=2, S12)
  OK 装備lift:hands_t6_v4          中央値比=1.4926221110640588e+21 (n=2, S12)
  OK 装備lift:hands_t6_v6          中央値比=2.1564280974868053e+27 (n=6, S13)
  OK 装備lift:hat_t6_v4            中央値比=4.531434373524621e+47 (n=2, S11)
  OK 装備lift:hat_t6_v6            中央値比=3.933323165152505e+36 (n=8, S13)
  OK 装備lift:shoes_t6_v4          中央値比=23710042338177.457 (n=3, S10)
  OK 装備lift:shoes_t6_v6          中央値比=184189932018.766 (n=3, S12)
  OK 装備lift:accA_t6_v4           中央値比=3.933323165152507e+36 (n=8, S13)
  OK 装備lift:accB_t6_v4           中央値比=3.417142515152181e+21 (n=8, S12)
新装備(a) 合計 148/149(装備された装備のみ判定対象)
新装備(b) カバレッジ: 149/486 装備済み 未装備: weapon_t1_v2,weapon_t1_v4,weapon_t1_v6,weapon_t1_v7,shield_t1_v2,shield_t1_v4,shield_t1_v5,shield_t1_v7,shield_t1_v8,shield_t1_v9,armorTop_t1_v1,armorTop_t1_v2,armorTop_t1_v7,armorTop_t1_v8,armorTop_t1_v9,armorBottom_t1_v2,armorBottom_t1_v3,armorBottom_t1_v7,armorBottom_t1_v8,armorBottom_t1_v9,hands_t1_v5,hands_t1_v7,hands_t1_v8,hat_t1_v5,hat_t1_v9,shoes_t1_v3,shoes_t1_v4,shoes_t1_v5,shoes_t1_v7,shoes_t1_v8,shoes_t1_v9,accA_t1_v2,accA_t1_v3,accA_t1_v4,accA_t1_v5,accA_t1_v6,accB_t1_v3,accB_t1_v5,accB_t1_v6,accB_t1_v7,accB_t1_v9,weapon_t2_v1,weapon_t2_v2,weapon_t2_v3,weapon_t2_v5,weapon_t2_v7,weapon_t2_v8,shield_t2_v2,shield_t2_v3,shield_t2_v5,shield_t2_v6,shield_t2_v7,shield_t2_v8,shield_t2_v9,armorTop_t2_v2,armorTop_t2_v3,armorTop_t2_v5,armorTop_t2_v7,armorTop_t2_v8,armorTop_t2_v9,armorBottom_t2_v2,armorBottom_t2_v3,armorBottom_t2_v5,armorBottom_t2_v8,armorBottom_t2_v9,hands_t2_v2,hands_t2_v3,hands_t2_v4,hands_t2_v5,hands_t2_v7,hands_t2_v8,hat_t2_v2,hat_t2_v4,hat_t2_v5,hat_t2_v7,hat_t2_v8,shoes_t2_v2,shoes_t2_v3,shoes_t2_v4,shoes_t2_v5,shoes_t2_v7,shoes_t2_v8,accA_t2_v2,accA_t2_v3,accA_t2_v5,accA_t2_v8,accA_t2_v9,accB_t2_v2,accB_t2_v3,accB_t2_v4,accB_t2_v5,accB_t2_v7,accB_t2_v9,weapon_t3_v2,weapon_t3_v3,weapon_t3_v5,weapon_t3_v7,weapon_t3_v8,weapon_t3_v9,shield_t3_v2,shield_t3_v3,shield_t3_v5,shield_t3_v6,shield_t3_v7,shield_t3_v8,shield_t3_v9,armorTop_t3_v2,armorTop_t3_v3,armorTop_t3_v5,armorTop_t3_v6,armorTop_t3_v7,armorTop_t3_v8,armorTop_t3_v9,armorBottom_t3_v2,armorBottom_t3_v3,armorBottom_t3_v5,armorBottom_t3_v7,armorBottom_t3_v8,armorBottom_t3_v9,hands_t3_v2,hands_t3_v3,hands_t3_v4,hands_t3_v5,hands_t3_v6,hands_t3_v7,hands_t3_v8,hands_t3_v9,hat_t3_v2,hat_t3_v4,hat_t3_v5,hat_t3_v6,hat_t3_v7,hat_t3_v8,hat_t3_v9,shoes_t3_v1,shoes_t3_v2,shoes_t3_v3,shoes_t3_v5,shoes_t3_v7,shoes_t3_v8,shoes_t3_v9,accA_t3_v2,accA_t3_v3,accA_t3_v5,accA_t3_v7,accA_t3_v8,accA_t3_v9,accB_t3_v1,accB_t3_v2,accB_t3_v3,accB_t3_v5,accB_t3_v7,accB_t3_v8,weapon_t4_v2,weapon_t4_v3,weapon_t4_v5,weapon_t4_v6,weapon_t4_v7,weapon_t4_v8,weapon_t4_v9,shield_t4_v2,shield_t4_v3,shield_t4_v5,shield_t4_v6,shield_t4_v7,shield_t4_v8,armorTop_t4_v2,armorTop_t4_v3,armorTop_t4_v5,armorTop_t4_v6,armorTop_t4_v7,armorTop_t4_v8,armorTop_t4_v9,armorBottom_t4_v2,armorBottom_t4_v3,armorBottom_t4_v4,armorBottom_t4_v5,armorBottom_t4_v7,armorBottom_t4_v8,armorBottom_t4_v9,hands_t4_v2,hands_t4_v3,hands_t4_v5,hands_t4_v7,hands_t4_v8,hands_t4_v9,hat_t4_v2,hat_t4_v3,hat_t4_v4,hat_t4_v5,hat_t4_v7,hat_t4_v8,hat_t4_v9,shoes_t4_v1,shoes_t4_v2,shoes_t4_v3,shoes_t4_v5,shoes_t4_v7,shoes_t4_v8,accA_t4_v1,accA_t4_v2,accA_t4_v3,accA_t4_v5,accA_t4_v7,accA_t4_v8,accB_t4_v1,accB_t4_v2,accB_t4_v3,accB_t4_v5,accB_t4_v7,accB_t4_v8,accB_t4_v9,weapon_t5_v2,weapon_t5_v3,weapon_t5_v5,weapon_t5_v7,weapon_t5_v8,weapon_t5_v9,shield_t5_v2,shield_t5_v3,shield_t5_v5,shield_t5_v6,shield_t5_v7,shield_t5_v8,shield_t5_v9,armorTop_t5_v2,armorTop_t5_v3,armorTop_t5_v5,armorTop_t5_v6,armorTop_t5_v7,armorTop_t5_v8,armorTop_t5_v9,armorBottom_t5_v1,armorBottom_t5_v2,armorBottom_t5_v3,armorBottom_t5_v4,armorBottom_t5_v5,armorBottom_t5_v8,armorBottom_t5_v9,hands_t5_v2,hands_t5_v3,hands_t5_v5,hands_t5_v7,hands_t5_v8,hands_t5_v9,hat_t5_v1,hat_t5_v2,hat_t5_v3,hat_t5_v5,hat_t5_v7,hat_t5_v8,shoes_t5_v1,shoes_t5_v2,shoes_t5_v3,shoes_t5_v5,shoes_t5_v6,shoes_t5_v7,shoes_t5_v8,accA_t5_v1,accA_t5_v2,accA_t5_v3,accA_t5_v5,accA_t5_v8,accA_t5_v9,accB_t5_v1,accB_t5_v2,accB_t5_v3,accB_t5_v5,accB_t5_v6,accB_t5_v7,accB_t5_v8,weapon_t6_v2,weapon_t6_v3,weapon_t6_v5,weapon_t6_v6,weapon_t6_v7,weapon_t6_v8,weapon_t6_v9,shield_t6_v2,shield_t6_v3,shield_t6_v5,shield_t6_v6,shield_t6_v7,shield_t6_v8,shield_t6_v9,armorTop_t6_v2,armorTop_t6_v3,armorTop_t6_v5,armorTop_t6_v6,armorTop_t6_v7,armorTop_t6_v8,armorTop_t6_v9,armorBottom_t6_v1,armorBottom_t6_v2,armorBottom_t6_v3,armorBottom_t6_v4,armorBottom_t6_v5,armorBottom_t6_v7,armorBottom_t6_v8,armorBottom_t6_v9,hands_t6_v1,hands_t6_v2,hands_t6_v3,hands_t6_v5,hands_t6_v7,hands_t6_v8,hands_t6_v9,hat_t6_v1,hat_t6_v2,hat_t6_v3,hat_t6_v5,hat_t6_v7,hat_t6_v8,hat_t6_v9,shoes_t6_v1,shoes_t6_v2,shoes_t6_v3,shoes_t6_v5,shoes_t6_v7,shoes_t6_v8,shoes_t6_v9,accA_t6_v1,accA_t6_v2,accA_t6_v3,accA_t6_v5,accA_t6_v6,accA_t6_v7,accA_t6_v8,accA_t6_v9,accB_t6_v1,accB_t6_v2,accB_t6_v3,accB_t6_v5,accB_t6_v6,accB_t6_v7,accB_t6_v8,accB_t6_v9
